t,x,x_dot,theta,theta_dot,u
0.0,0.0008319439903618037,0.16641648345552112,0.5220139205044643,-0.3171988993682354,9.999433635021063
0.01,0.003329402450450971,0.33315863526508993,0.517245772489852,-0.6371171364814519,9.999036553136799
0.02,0.00749727582111994,0.5005561739294766,0.5092534377528637,-0.9625015518875765,9.998250144449257
0.03,0.01334375149984656,0.6689372914472281,0.4979684417264622,-1.2961254243338598,9.996586249404434
0.04,0.020880232101712345,0.8386171222165072,0.48329456296882595,-1.6407677474816915,9.99279934310318
0.05,0.030121006707850864,1.009857654635558,0.46510831548910986,-1.9991031657385698,9.98346217803219
0.06,0.04108207085039848,1.1827370865341844,0.44326193416162096,-2.3733088146422263,9.95834943268181
0.07,0.053777081579281974,1.3567061704506242,0.4175951645190135,-2.7636891193524655,9.884333278430894
0.08,0.06820316450601292,1.528997999073248,0.38797880630045706,-3.1636753396445454,9.6463866219278
0.09,0.08429103061121372,1.6890664507534332,0.354471450051594,-3.542105854916991,8.844654624236881
0.1,0.10176248569601229,1.8056052249097532,0.31777590013906354,-3.8008745918221365,6.42562497235745
0.11,0.1199807568419135,1.838194246873763,0.2797425355340249,-3.808445276579245,1.9822944026381906
0.12,0.1381853734378877,1.8027209548762664,0.24265987224395744,-3.609825407216594,-1.5451379791970283
0.13,0.15587975670604073,1.736122463656498,0.2080156855429692,-3.3204583120203113,-3.130768373075599
0.14,0.1728501315682219,1.6579434498865444,0.17640899683301414,-3.0022787514328817,-3.713368327177722
0.15,0.18902846907049858,1.5777479271054562,0.14797587763840042,-2.685748685276355,-3.817967902898676
0.16,0.20441975737076762,1.500560937525313,0.12262018008363987,-2.386782891413486,-3.6778756114037088
0.17,0.21906691756944485,1.4289404436963675,0.10012672359579526,-2.113257283274085,-3.4163019801271783
0.18,0.23303084815342956,1.3639246506313727,0.08022663888947076,-1.8680376030591153,-3.10724265668874
0.19,0.24637814783736203,1.3056174572478083,0.06263791108521125,-1.650896965392337,-2.7952848340865346
0.2,0.2591738681330437,1.2536076481309264,0.04708931944369403,-1.459912904592567,-2.504498131334393
0.21,0.2714778014953719,1.207256333814201,0.033332547601254654,-1.2924341361394722,-2.245121834515787
0.22,0.28334307717274915,1.165870972239881,0.021146520087335863,-1.145668368913164,-2.01915139963642
0.23,0.29481607198926957,1.1287944140845478,0.010337297576885496,-1.0169832791505784,-1.824459443840303
0.24,0.3059369457511562,1.0954408969220697,0.000735866403657361,-0.904027315413017,-1.65733500197781
0.25,0.316740393268624,1.0653034732571771,-0.007804790036129381,-0.8047530233953231,-1.5138283305772935
0.26,0.32725640701500747,1.0379487822903242,-0.015412634128047272,-0.7173969216364006,-1.3903275930433145
0.27,0.3375109644786197,1.0130072654625857,-0.022199235759554358,-0.6404436252061925,-1.2837508453283037
0.28,0.3475266165527198,0.9901631901427033,-0.028262070674762295,-0.5725891862259134,-1.1915334830474527
0.29,0.35732298080812597,0.9691456225937116,-0.03368646808949813,-0.512707687330608,-1.1115674421034614
0.3,0.36691715235021266,0.9497209845635187,-0.03854725141896401,-0.45982331836462725,-1.0421142267454997
0.31,0.3763240472221984,0.931687013908315,-0.04291012431122368,-0.4130873878546886,-0.9817303751785988
0.32,0.38555669095473444,0.9148678381710565,-0.04683284661737391,-0.37175931324831146,-0.9292096227465898
0.33,0.3946264630392618,0.8991100887781872,-0.05036623888911286,-0.33519134295445446,-0.8835299870113199
0.34,0.40354330582160347,0.8842796727007058,-0.053555046287594006,-0.30281571890104836,-0.8438208066670809
0.35000000000000003,0.41231590383023725,0.8702590887483168,-0.056438684345743,-0.27413388419865736,-0.809335881005555
0.36,0.4209518388992542,0.8569452707393818,-0.05905188663924528,-0.2487076552730853,-0.7794277402375892
0.37,0.42945772511090263,0.8442477084739002,-0.06142526976503507,-0.22615150854757737,-0.7535344991702854
0.38,0.4378393263321378,0.8320868455858077,-0.06358582665975279,-0.2061259585995957,-0.7311667931295067
0.39,0.4461016590743305,0.8203927462368137,-0.06555735894536907,-0.18833198224073977,-0.7118951014647551
0.4,0.45424908263608416,0.8091038848971529,-0.06736085625145745,-0.1725059866420746,-0.695344329561056
0.41000000000000003,0.46228537834583744,0.7981661763414462,-0.06901482982427022,-0.15841569561409202,-0.6811824691164976
0.42,0.47021381917550975,0.7875320196727971,-0.07053560577309037,-0.14585618803926145,-0.6691205270384769
0.43,0.4780372310852152,0.7771596003203716,-0.07193758346786266,-0.13464688718214443,-0.6589001714977111
0.44,0.4857580470548283,0.7670121252359576,-0.0732334631419221,-0.12462841015394574,-0.6502975888625326
0.45,0.4933783545886425,0.7570572821410783,-0.0744344460859957,-0.11566023461404802,-0.643112711673872
0.46,0.5008999377996505,0.7472666960568635,-0.07555041179210605,-0.10761842029475108,-0.6371697567276824
0.47000000000000003,0.5083243143186348,0.7376154375921143,-0.07659007346277887,-0.10039355886321942,-0.6323149874673115
0.48,0.5156527680978096,0.7280816934436147,-0.07756111596892948,-0.09388931241249665,-0.6284088978249247
0.49,0.5228863782418066,0.7186463012542652,-0.07847031716433055,-0.08802054500434939,-0.6253332875596167
0.5,0.5300260442849927,0.7092925039147749,-0.0793236543591972,-0.08271222176442287,-0.6229805061305248
0.51,0.537072508735992,0.7000056486228083,-0.08012639904075515,-0.07789815826753237,-0.6212564348849324
0.52,0.5440263769433531,0.6907729519736394,-0.08088320033867208,-0.07352001923585089,-0.6200773655137479
0.53,0.5508881345734308,0.6815832572435011,-0.08159815848338439,-0.06952631763614772,-0.6193705568420423
0.54,0.557658162935869,0.672426846563591,-0.0822748892861979,-0.0658716192293471,-0.6190716278673801
0.55,0.5643367525188419,0.6632952706451686,-0.08291658106087917,-0.06251582572593886,-0.6191238046951433
0.56,0.5709241153048715,0.654181275130606,-0.0835260460739727,-0.059423796938688545,-0.6194731881744067
0.5700000000000001,0.5774203952721464,0.6450785112957359,-0.08410576471834491,-0.05656427272560461,-0.6200796663130743
0.58,0.5838256775582699,0.635981557791519,-0.08465792414226439,-0.05390984169889364,-0.6209014037084594
