controller,IAE_theta,ISE_theta,MaxAbsTheta,Energy_u2
Fuzzy,0.03526932264280101,0.0006150286694819875,0.09771057852915269,0.6913780823614162
PID,0.0382361344634376,0.0007043270123272558,0.09824470274770898,0.5054248628200074
LQR,0.044285235972130285,0.0014057408747835851,0.09937816188016077,0.20060561044340008
MPC,0.029243933172902876,0.0008477269786844744,0.09799586345627004,0.4430152893903613
