t,x,x_dot,theta,theta_dot,u
0.0,-7.722526199744359e-05,-0.015443347349627034,0.5246394288963235,0.20817036150548546,0.0
0.01,-0.00030879797734574424,-0.030865902245012018,0.5277637687749756,0.4168161593423896,0.0
0.02,-0.000694398043978026,-0.046244680969258906,0.5329788991614315,0.6264054656162162,0.0
0.03,-0.0012334554161119817,-0.06155231154769295,0.5402965373020325,0.8373916537181961,0.0
0.04,-0.0019250952016638373,-0.07675482848447052,0.5497328303911082,1.0502061397541977,0.0
0.05,-0.00276806067856152,-0.0918094631651337,0.5613081003090693,1.2652512799585716,0.0
0.06,-0.0037606142440103473,-0.10666244318221837,0.5750465186251348,1.4828935523683235,0.0
0.07,-0.00490041650057737,-0.12124682565000316,0.5909757155971271,1.7034572116456714,0.0
0.08,-0.006184384000340668,-0.13548040312912246,0.6091263291288113,1.927218674671188,0.0
0.09,-0.00760852662562138,-0.14926373498906403,0.6295315025767635,2.154401965300643,0.0
0.1,-0.00916776618130941,-0.1624783703864741,0.6522263439148701,2.3851756112862166,0.0
0.11,-0.010855738491665554,-0.17498533961446425,0.6772473629542827,2.619651434652379,0.0
0.12,-0.01266458209512834,-0.1866239961745126,0.7046319078603503,2.8578856973801208,0.0
0.13,-0.014584717452867041,-0.19721129027781983,0.7344176267711054,3.0998830457942947,0.0
0.14,-0.016604621348050186,-0.20654154366080302,0.7666419844654948,3.3456036304056442,0.0
0.15,-0.018710601754718715,-0.2143867744670978,0.8013418672441321,3.594973658556784,0.0
0.16,-0.02088657879425821,-0.22049758968176084,0.8385533109486923,3.847899467472741,0.0
0.17,-0.0231138773803305,-0.22460462309513624,0.8783113869024233,4.10428499626029,0.0
0.18,-0.02537103671469351,-0.22642045280640247,0.9206502782025675,4.364052306788035,0.0
0.19,-0.027633640918249863,-0.22564188934574433,0.9656035741681285,4.627164581590687,0.0
0.2,-0.02987417380690959,-0.22195249025281114,1.0132048040551096,4.893650840553632,0.0
0.21,-0.0320618992623117,-0.2150251363702764,1.0634882228788107,5.163631491610405,0.0
0.22,-0.03416276698255336,-0.20452450559688262,1.116489853006005,5.43734377724392,0.0
0.23,-0.03613934186565469,-0.19010930661353903,1.1722487758236986,5.715166193579467,0.0
0.24,-0.037950754162362176,-0.1714341921995921,1.2308086588229457,5.997641014726896,0.0
0.25,-0.039552667156968424,-0.1481513630009381,1.2922194950182289,6.285494097889353,0.0
0.26,-0.04089725986172314,-0.11991200356332724,1.3565395232353505,6.57965109144879,0.0
0.27,-0.04193322448586284,-0.08636787358181622,1.4238372879258898,6.881248901086701,0.0
0.28,-0.042605782854961506,-0.04717362837545045,1.494193782893132,7.191640624361324,0.0
0.29,-0.04285673336728394,-0.001990798164283679,1.5677045997792285,7.512390910306206,0.0
0.3,-0.042624551786409746,0.04950512791917811,1.6444819616986794,7.845256501121052,0.0
0.31,-0.041844587191107514,0.10761230468729277,1.7246564532455875,8.192143075824378,0.0
0.32,-0.04044942176300464,0.17258148455967642,1.8083781425606422,8.555023740286643,0.0
0.33,-0.03836950415636941,0.24458134815376753,1.8958166034022272,8.935795677956639,0.0
0.34,-0.035534226740266184,0.32364296653671815,1.9871590497402687,9.336038632233036,0.0
0.35000000000000003,-0.03187370338236901,0.40957329356371563,2.0826053495050414,9.756621727415586,0.0
0.36,-0.02732162020097799,0.501824753932181,2.1823580524786834,10.197085951894804,0.0
0.37,-0.021819668216730065,0.5993072073616615,2.286604768184262,10.654717917753592,0.0
0.38,-0.015324181928883197,0.700134832088268,2.395489447001234,11.123251782181812,0.0
0.39,-0.007815586152074913,0.8013236801018992,2.509068921364537,11.591243892619607,0.0
0.4,0.0006891446456760465,0.8985101149742629,2.627252715188806,12.040440932200333,0.0
0.41000000000000003,0.01012195057453031,0.985853457622616,2.749729664490504,12.444961389982419,0.0
0.42,0.02035016571506186,1.0563841619545176,2.8758960359156687,12.772672196728346,0.0
0.43,0.031169801152183065,1.1030414305875844,3.004814469778158,12.990129234111867,0.0
0.44,0.0423126293875083,1.120342936687542,3.135240614006339,13.070919532702282,0.0
0.45,0.05347079770215496,1.1060759298075702,3.265738393105388,13.0042925065551,0.0
0.46,0.06433448886139673,1.0620722866695325,3.3948621847246216,12.799151782488629,0.0
0.47000000000000003,0.0746302707265972,0.9935631985110811,3.5213425459344596,12.480730181396227,0.0
0.48,0.08414732798538055,0.9075362346994676,3.6442097489856065,12.082193226674486,0.0
0.49,0.09274618791326904,0.8110274925486658,3.7628286280117202,11.636082174070543,0.0
0.5,0.10035304771425305,0.7100122687807823,3.876862512257344,11.168995193692476,0.0
0.51,0.10694662131310925,0.6089983856444715,3.9862028290685636,10.699914200237728,0.0
0.52,0.11254352387238345,0.5110928763385877,4.090894999441433,10.240877892508262,0.0
0.53,0.11718554296661905,0.4182745745246354,4.191076676659579,9.798580218110281,0.0
0.54,0.12092989654390382,0.3316988189599278,4.286932696877457,9.376016724539905,0.0
0.55,0.12384234532104338,0.25195664054510664,4.37866508052463,8.973819246868642,0.0
0.56,0.12599257434687636,0.17926899695505927,4.466474493288186,8.591216353942736,0.0
0.5700000000000001,0.1274512130653708,0.11362220643486075,4.5505496611014635,8.226677136062575,0.0
0.58,0.12828797168527498,0.05485811658833642,4.6310619929102215,7.878322704637347,0.0
0.59,0.12857050874644071,0.00273215975946324,4.708163474707372,7.544179795874411,0.0
0.6,0.12836376325100307,-0.043050309278807965,4.781986548571902,7.222331823708907,0.0
0.61,0.1277295739033113,-0.08281189249035337,4.852645153201494,6.911005197088589,0.0
0.62,0.1267264707875743,-0.11689007905637144,4.920236410546039,6.60861544594784,0.0
0.63,0.12540956749557744,-0.14562975671776462,4.98484263964293,6.313788519510214,0.0
0.64,0.12383051019313902,-0.1693790041988806,5.046533500032223,6.0253665913821095,0.0
0.65,0.12203745889103756,-0.188486657121493,5.105368139906033,5.7424038953019965,0.0
0.66,0.12007508841002414,-0.20330067582511763,5.1613972668043635,5.464155800746917,0.0
0.67,0.1179846042922182,-0.21416671182501038,5.214665083459506,5.190063008660726,0.0
0.68,0.11580377357388011,-0.22142652904502466,5.26521104631378,4.919732055235007,0.0
0.6900000000000001,0.11356697278881829,-0.22541612283850074,5.3130714143836855,4.652913015893267,0.0
0.7000000000000001,0.11130525642793865,-0.2264635150684731,5.358280564590091,4.389475233322606,0.0
0.71,0.10904644879292395,-0.2248862983270011,5.400872058052863,4.129381931058624,0.0
0.72,0.10681526112292886,-0.22098906261888576,5.4408794507614475,3.872664631542839,0.0
0.73,0.10463343436812395,-0.2150608673890323,5.47833685137173,3.6193983181514047,0.0
0.74,0.10251990632063811,-0.20737292460530832,5.513279238104684,3.369678234442861,0.0
0.75,0.1004910002347722,-0.19817663981216127,5.545742555114542,3.123599094112269,0.0
0.76,0.09856063075989473,-0.1877021239508903,5.575763615564307,2.8812372936226414,0.0
0.77,0.0967405220898306,-0.1761572462547951,5.6033798434882955,2.642636499896528,0.0
0.78,0.09504043275130822,-0.1637272543956759,5.628628889095541,2.407796756268169,0.0
0.79,0.09346838139818929,-0.1505749479205564,5.6515481525161775,2.1766670379433237,0.0
0.8,0.09203086828647579,-0.1368413588368306,5.672174249396691,1.9491410140154022,0.0
0.81,0.09073308768597281,-0.1226468710540978,5.690542448653936,1.7250556485555708,0.0
0.8200000000000001,0.08957912723472265,-0.1080926985991993,5.706686108621397,1.5041922016293865,0.0
0.8300000000000001,0.08857215106254183,-0.09326264006023807,5.720636133278167,1.2862791682983663,0.0
0.84,0.08771456431578205,-0.078225031705235,5.732420465689074,1.0709967109143104,0.0
0.85,0.08700815744340056,-0.06303483191423626,5.7420636315487625,0.857982186120365,0.0
0.86,0.08645422921380634,-0.04773578273405106,5.749586342044175,0.6468364314672306,0.0
0.87,0.08605368790302315,-0.03236260856183515,5.7550051622497005,0.4371305471183991,0.0
0.88,0.08580713042532223,-0.016943225636148904,5.758332248974132,0.22841297735037652,0.0
0.89,0.08571489937886914,-0.0015009480299119325,5.759575160342141,0.02021675816650481,0.0
0.9,0.08577711807174505,0.013943314561080628,5.7587367383157,-0.1879331530016007,0.0
0.91,0.08599370360465443,0.02936886522494432,5.7558150647084485,-0.39651251458566705,0.0
0.92,0.08636435804598593,0.04475302885249708,5.750803490862457,-0.6059904355812739,0.0
0.93,0.08688853767473732,0.06006895586640679,5.743690740875295,-0.8168220364084465,0.0
0.9400000000000001,0.08756540021983417,0.07528341770594646,5.734461087914917,-1.0294411800792334,0.0
0.9500000000000001,0.08839373002285147,0.09035459723262412,5.723094602572288,-1.2442533496935775,0.0
0.96,0.08937184112582541,0.10522988628979141,5.709567471218379,-1.4616287952550904,0.0
0.97,0.09049745846428954,0.11984371424473166,5.693852380813406,-1.6818961323720392,0.0
0.98,0.09176757764994774,0.1341154447683041,5.6759189644546595,-1.9053366435876518,0.0
0.99,0.09317830427086993,0.14794739231043355,5.655734299086554,-2.132179603982064,0.0
1.0,0.09472467422054391,0.1612230232408165,5.633263443243668,-2.362599018311332,0.0
