t,x,x_dot,theta,theta_dot,u
0.0,0.0008319954996237143,0.1664267896201751,0.5220137717179715,-0.317228687533066,10.0
0.01,0.003329644700678091,0.3331864956883247,0.5172450714766488,-0.6371979214865311,9.999997789957135
0.02,0.007497956836394674,0.5006161153611663,0.5092514612991778,-0.9626761854363188,9.999998032502612
0.03,0.01334534615980747,0.6690601982379274,0.4979637950795743,-1.2964856155997369,9.999998283272443
0.04,0.020883722251985027,0.8388736076216433,0.4832843407702193,-1.6415245580765518,9.999998218848067
0.05,0.030128600779008363,1.010422715732878,0.46508593157114714,-2.000783495184777,9.999998536403941
0.06,0.04109921437677082,1.1840840376460624,0.443211008987698,-2.377349837238903,9.999998798652772
0.07,0.053818591676947816,1.36023893780337,0.41747069944878545,-2.7743950541349833,9.999999078041974
0.08,0.06831355521422347,1.5392622872595105,0.38764414840638944,-3.1951340521211913,9.999999425344715
0.09,0.0845919145035704,1.7169581768634272,0.3535486918729732,-3.6286144246743315,9.761978648113569
0.1,0.10219666044374989,1.8042876443087916,0.3164429778209271,-3.795964728605652,4.893237513244614
0.11,0.12038624172795226,1.8337658289460796,0.2785058023466175,-3.794067104148873,1.8211767022910603
0.12,0.1386928777347849,1.8276233123884298,0.24109460089839135,-3.6903108942427516,-0.04420848989689611
0.13,0.15683369549164974,1.8005813271487572,0.20500211054315565,-3.5301195575470787,-1.1286834881933139
0.14,0.17464617020643894,1.7619616151433781,0.17064756361338682,-3.3426492010556768,-1.730758754547663
0.15,0.19204254195563503,1.717378027703691,0.1382156810189558,-3.1455657322238184,-2.0496746533165386
0.16,0.20897921273433448,1.670039840192441,0.1077524498526184,-2.9489072805084917,-2.2110942982676867
0.17,0.22543731993697777,1.6216808257832593,0.07922722250046457,-2.757944214605441,-2.2900619627108343
0.18,0.24141106371883356,1.5731785408390189,0.05257064797699791,-2.575141348353898,-2.3289046990701774
0.19,0.25690105460747514,1.524937570715845,0.027696553775489505,-2.4013985151618473,-2.3502308003820023
0.2,0.2719107306575839,1.4771193888181102,0.004513822298249905,-2.236807361404627,-2.3651152671154616
0.21,0.2864445542765773,1.4297680534973984,-0.017067622531702832,-2.081070806371491,-2.3784924015537485
0.22,0.3005071678167826,1.382876113708278,-0.03713404236078559,-1.933725667724633,-2.3921851747395255
0.23,0.3141030612511421,1.3364210722482337,-0.05576684752709229,-1.7942670551996,-2.4063640155457637
0.24,0.32723649519022274,1.290379986404476,-0.07304243612471893,-1.6621991667083533,-2.4206119645091073
0.25,0.3399115335535075,1.24473680855814,-0.08903241616712926,-1.53706117018841,-2.4342595349728215
0.26,0.3521321117312072,1.1994821585077222,-0.10380395756788094,-1.4184273575737731,-2.4467397169881564
0.27,0.3639021166726089,1.1546159479817761,-0.11742019083906348,-1.305916387304389,-2.457425636951312
0.28,0.37522547041965343,1.1101454576827383,-0.12994062112647306,-1.1991851680833947,-2.4658432332820155
0.29,0.38610618900451216,1.066082342274801,-0.14142146250299706,-1.0979190655510258,-2.4717137003764686
0.3,0.3965484316432836,1.0224436902608587,-0.15191594075309223,-1.00183541674708,-2.474740147895921
0.31,0.406556547581614,0.9792505016146532,-0.16147458803735112,-0.910678424803359,-2.4747298471946504
0.32,0.41613509955835604,0.9365245388096537,-0.17014545951834553,-0.8242086763826415,-2.4716707572023227
0.33,0.425288879893517,0.8942900025857654,-0.17797432438205232,-0.7422085093560171,-2.4654831637722916
0.34,0.43402292951025956,0.8525724474763617,-0.18500486478455244,-0.6644782520273587,-2.4561548902447123
0.35000000000000003,0.44234253714000443,0.8113959056109509,-0.19127880776552375,-0.590826586830353,-2.4438291869439777
0.36,0.4502532357367006,0.7707852051053936,-0.19683604582571193,-0.5210779190143339,-2.428538989889791
0.37,0.45776080542953357,0.7307649624815297,-0.20171477644238,-0.4550688117528887,-2.4103730529332745
0.38,0.46487125920618827,0.6913571376308639,-0.20595158244518022,-0.3926397262808766,-2.389547478432152
0.39,0.47159082834648836,0.6525834288705799,-0.20958150874808795,-0.33364255149440286,-2.3661584315492528
0.4,0.47792595686212697,0.6144646811506441,-0.21263816540683608,-0.2779383508344725,-2.340332497580712
0.41000000000000003,0.48388328048103224,0.5770183873968913,-0.21515377706195846,-0.22538889300419412,-2.312322939050799
0.42,0.4894696066856695,0.5402613977323105,-0.21715923245976854,-0.17586513510972818,-2.282243908562058
0.43,0.49469190566654936,0.5042093947263111,-0.2186841659855014,-0.12924515065232106,-2.2502342903959525
0.44,0.49955728638340163,0.46887443979682053,-0.21975698710003536,-0.08540578040256261,-2.216555602098984
0.45,0.5040729752930909,0.43426796007169605,-0.2204049147283589,-0.044231971388269335,-2.1813144543898337
0.46,0.5082463070571701,0.40040015840745335,-0.22065404678508616,-0.0056144717956791365,-2.1446444559746176
0.47000000000000003,0.5120847005931101,0.36727767188595084,-0.22052937819510304,0.0305581683704029,-2.1067953533362105
0.48,0.5155956386579814,0.3349066199591645,-0.22005482650564073,0.06439007860011126,-2.067858200636298
0.49,0.5187866599507913,0.3032920605814867,-0.21925329428077853,0.09598022561078981,-2.027948383884249
0.5,0.5216653370106867,0.27243569284189306,-0.21814668144231084,0.1254302706726712,-1.9872949633771124
0.51,0.524239258046546,0.24233894098753353,-0.21675590652519613,0.1528349269387276,-1.9459664500723042
0.52,0.5265160179902187,0.21300171522065287,-0.21510095409140106,0.17828636882461696,-1.904091191316086
0.53,0.5285032078873715,0.18442331852714516,-0.21320091301747968,0.2018716476705133,-1.8617481668349956
0.54,0.530208396618588,0.1566000054003998,-0.2110739861722394,0.2236810019285754,-1.8191375343857314
0.55,0.5316391164743113,0.12952819453807093,-0.20873750904150268,0.2437977536027756,-1.776292868281996
0.56,0.532802861760378,0.10320386218654597,-0.2062080072993757,0.26230062125302483,-1.7332758502938503
0.5700000000000001,0.5337070729563481,0.07762025873629938,-0.2035012039646528,0.279271495392828,-1.6902615763657372
0.58,0.5343591249472331,0.052771007582641534,-0.20063203655983108,0.29478565789838734,-1.6472649441719496
0.59,0.5347663249187344,0.028648938593318445,-0.19761470262413067,0.30891589259790203,-1.6043577913234097
0.6,0.5349359083782934,0.005246879996083378,-0.19446269615226244,0.3217301888334503,-1.5615695140585164
0.61,0.5348750266369126,-0.01744484209351618,-0.19118881327518758,0.3333001947612083,-1.5190543211831757
0.62,0.5345907384430358,-0.039435071814824425,-0.1878051687221615,0.3436906020334495,-1.4767952495823744
